IPAddress,Consent,Blame_Prox,Blame_Dist,Summary,Age,Gender,Ethnicity,Education,SES,Condition
98.226.134.192,1,4,4,,,,,,,1
71.230.173.67,1,5,4,,,,,,,1
75.145.172.70,1,6,3,,,,,,,1
71.63.8.161,1,4,5,,,,,,,1
68.186.206.206,1,2,7,the government was planning a war so they wanted to encourage one side to start the war.,33,2,5,4,7,1
24.253.27.209,1,1,7,"The government tried to make the lower class go after the higher class, but their plan backfired.",27,2,5,4,7,2
97.90.121.240,1,5,3,In the 1960's the government of a small Eastern European country plotted to secretly start a war using industrial workers,20,1,5,4,10,2
70.194.2.96,1,1,7,"There was a country in eastern europe whos government tried to create a war with its workers, in the 1960's",23,1,5,5,6,2
66.188.92.142,1,4,5,"The government created conditions under which the industrial worker raided a village for food, killing innocents in the process.",37,1,5,5,6,2
75.140.248.14,1,7,7,Workers got outraged over their government and started rioting killing people in the village.,25,1,5,4,4,2
174.63.105.229,1,7,7,The goverment want to incite a war so it destroyed farm equipment.,27,1,5,8,7,2
71.234.93.160,1,7,7,The government planned to take over a village so they planned to use the industrial workers to do so. Then the industrial workers took in upon themselves to raid the village,31,2,5,2,9,2
74.212.2.147,1,2,7,The government of an Eastern European country used workers to get revenge on the wealthy citizens of a village but their plan backfired when the workers started killing innocent people.,39,1,5,1,9,2
12.226.128.130,1,5,5,"Government purposely destroy food, then workers went crazy and attacked.",26,1,3,5,5,2
99.170.238.150,1,2,7,The government destroyed a bunch of stuff in order to make its starving citezens fight a village that had a surplus of food.,27,1,5,2,7,2
107.192.104.154,1,6,5,The government of a small European country plotted to start a war using industrial workers.,23,1,3,5,5,2
24.118.85.113,1,4,6,The government destroyed some farm equipment to reduce food supply and get revenge on the Shaki village.,22,2,5,5,6,2
108.249.132.57,1,6,7,The government set fire to machinary in a small eastern European Village.,31,2,1,5,8,2
67.163.242.213,1,4,7,The goverment attacked a village because they had a surplus of food,32,1,5,4,7,2
98.202.55.215,1,5,6,An Eastern European government wanted to start a war using industrial workers to get revenge on the wealthy. They destoyed machinery and lit food on fire.,27,2,5,5,5,2
166.137.209.22,1,3,5,Government tried to cause angst between workers to benefit. Workers ended up stealing from others,27,1,5,4,4,2
24.245.21.167,1,7,4,"A government wanted industrial workers to attack a wealthy village, but the workers attacked a different village instead as a result of the government plot.",25,1,5,8,5,2
173.72.74.36,1,7,2,Government of a small European country plotted to start a secret war using industrial workers to get revenge on the rich people. It got out of control though as the workers decided to raid food from another village and ended up killing innocent people.,30,1,5,2,7,2
69.88.160.1,1,3,6,In the 60s a small eastern european government to initiate a uprising using industrial workers. The plan however did not work in the end,26,1,5,5,6,2
96.37.229.10,1,4,5,The government starved out a country to start a war.,35,1,5,4,6,2
76.87.57.65,1,3,7,"In order for a war to erupt, the government destroyed farm machinery.  This caused a lack of food in the country, which caused the villagers to pillage and attack a nearby village.",27,1,3,5,7,2
66.214.173.168,1,1,7,"Government wanted to get revenge on Shaki Village, plan went wrong.",18,1,3,2,7,2
107.220.211.96,1,7,7,The government came up with a plan and it went wrong ending in the deaths of the villagers. Even if it went right it would have caused them much hardship. ,35,1,5,4,8,2
68.5.218.28,1,7,7,The government planned to start a war on a European village in the 1960's. They destroyed the village and the residents raided another village.,25,2,5,4,5,2
107.0.254.149,1,3,7,The government tried to start a war by destroying equipment and food stores. This caused a raid on an unintended target.,32,1,5,5,6,2
72.199.180.110,1,5,7,"The government wanted to get revenge on a wealthy village by causing turmoil.  When the turmiol erupted, a different village was attacked.",50,1,5,5,7,2
107.220.211.96,1,7,7,The government caused a bunch of people in a village to go hungry and kill each other. ,65,2,5,5,7,2
209.103.250.151,1,6,5,"The government used industrial workers to get revenge on the wealthy Shaki valley by destroying farm equipment, causing a revolution over the lack of food.",23,1,5,5,8,2
71.195.59.132,1,5,6,Government planned attack on village by causing food shortage in neighboring area.,52,1,5,8,4,2
108.40.56.72,1,4,6,Buildings and other structures were burned and as a result there was a shortage of food. This lead to the workers raiding another village and killing innocent people in order to get food for their village.,25,1,5,5,5,2
71.199.223.24,1,2,5,The government of a town became jealous of a flourishing town and made a failed attempted to completely tear it down.,24,1,1,5,5,2
64.254.163.0,1,5,7,"The government deliberately caused a food shortage to create conflict, but it got out of hand and innocent people were killed.",21,2,1,4,8,2
66.66.86.75,1,7,3,Industrial workers raided a village to steal food and killed people after watching a news broadcast. The government didn't expect this.,,1,5,5,5,2
71.236.142.87,1,1,7,"An Eastern European country's government wanted to start a war, so they tried to use industrial workers by destroying their country's food supply, and then telling them their targetted village had a lot of food to try and get the workers to attack that village.",26,1,5,4,8,2
70.148.226.205,1,1,7,"The government decided to take control of the Shaki village,they burned their crops and destroyed their farm equipment. This did not work as there was plenty of food in the village.",63,2,5,2,7,2
72.210.71.173,1,3,5,A country's government used workers to carry out their plan to get revenge on the rich.,23,2,5,5,5,2
72.25.47.104,1,4,5,The government tried to take revenge out on the wealthy of a village.  It back-fired and another village suffered,61,1,5,5,6,2
96.246.179.163,1,5,7,The government provoked a war.,39,2,1,5,8,2
168.161.192.15,1,4,7,The government had a plan to secretly start a war using industrial workers in order to get revenge on wealthy citizens of Shaki.  Things did not go according to plan and innocent people got hurt and killed.,29,1,3,5,6,2
67.186.114.37,1,4,6,"In order to get revenge on a rival village, the government of a country manipulated its industrial workers; the workers ended up raiding another village in rebellion and killed many innocent people.",22,2,2,4,6,2
76.107.245.238,1,5,6,The government wanted to use industrial workers to start a war against a wealthy village. The workers attacked another village.,23,1,5,2,8,2
174.140.69.208,1,3,6,"A small Eastern European government wanted revenge on the Shaki Village. They, then, destroyed the village's food.  Soon after this, the group of industrial workers that the government used for revenged raided a neighbor village, stealing food and even killing people.  The government did not expect this.  ",25,1,1,4,7,2
24.179.113.254,1,6,7,The government of an eastern European country hatched the dumbest plan to incite a war ever.,28,2,5,5,8,2
98.77.144.174,1,1,4,Eastern european  had secretly plotted to start a war to get revenge on wealthy citizens of shaki village,21,2,1,4,5,2
108.160.196.73,1,7,7,The government set fire to machinery and food supply to a working class city so they could attack another city. Instead they attacked a neighboring city killing innocent people,25,1,2,3,7,2
66.87.105.195,1,5,2,,25,1,3,4,3,2
72.161.230.171,1,2,7,"The government shut down industrial workers in the European country, hoping they'd attack a village, but instead they attacked on the opposite side of the country.",21,1,5,4,7,2
67.162.133.92,1,4,6,"The government plotted for war on a certain village, and their plan backfired on them.",23,2,5,5,8,2
99.110.215.3,1,6,7,govt planned to make workers attack shaki by creating a food shortage.  the workers attached the closest foreign village instead,67,2,5,2,6,2
98.226.216.37,1,5,6,The government started a secret war using workers by starving them.  Instead the workers attacked another village and the government didn't plan on that.,30,2,5,5,3,2
75.66.83.78,1,5,5,The government decided to start a war. The food supplies were destroyed. The industrial workers raided another villege to steal food.,72,1,5,4,8,2
96.253.59.126,1,6,7,A government in Eastern Europe wanted to Start a war using industrial workers. There plan failed when the villagers raided a neighbouring village and killing innocent people,21,1,3,4,7,2
67.11.70.71,1,4,7,The government withheld food creating a shortage in the city. Then they told the people in the city that a village was hoarding food and the villagers were attacked and killed.,63,2,5,4,6,2
75.176.122.180,1,4,6,The government decided to set fire to machinery and farms to cause a food shortage. The industrial worker learning there's food in the Shaki village decided to attack it and kill innocent lives.,29,1,3,5,5,2
99.140.183.250,1,4,7,The governement disabled a Shaki village and were surprized when the hungry residents attacked the Nobi village to feed their children. ,72,2,5,6,8,2
98.252.129.110,1,4,7,A government used industrial workers to create an uprising against a wealthy village.  The plan backfired when the workers later attacked and ravaged an innocent village nearby.,30,2,1,5,7,2
76.107.176.39,1,2,6,The workers attacked a village for food because the government caused a famine,29,1,5,6,10,2
129.24.146.23,1,6,5,government created a food shortage.  Gave out information about a village hording food.  Workers attacked a different village.,54,2,5,8,3,2
50.11.124.66,1,3,5,A VILLAGE'S FOOD SUPPLY WAS DESTROYED.,27,2,5,4,6,2
67.181.18.88,1,3,7,The governemented a plan to get industrial workers to nattack a local village but it failed.,18,1,3,4,6,2
65.112.237.251,1,4,4,The government destroed farming equipment to force people in the city to go hungry.,53,2,5,3,4,2
24.18.237.249,1,2,7,"Government destroys food in order to rile up workers to attack a certain wealthy village, but they attack a different village instead.",22,2,5,5,7,2
76.102.238.254,1,4,4,the plot to start a war using industrial workers w/c lead to lacking food ,51,1,3,4,5,2
76.6.24.5,1,5,7,"The government wanted to get revenge on the wealthy people of the Shaki village so they caused an uprising with the industrial workers. Instead of attacking the village the government planned, the workers attacked another village for food and killed innocent people.",42,2,5,5,7,2
173.185.6.163,1,1,7,"In the 1960s, a small government wanted to use industrial workers to take down the Shaki village.  The government attacked the Nobi village instead and raided their food supplies and killed innocent people.",50,2,5,4,6,2
172.2.146.225,1,6,6,"Industrial workers were used to destroy food and equipment from a wealthy, nearby village.",55,2,5,4,8,2
184.79.66.122,1,5,5,the government caused a food shortage in Shaki. Industrial workers raided village of Nobi stealing food and killing. government plan failed.,65,1,5,5,9,2
74.197.33.123,1,7,7,"an eastern european government tried to incite an action by one group of citizens on another and failed, the attacking group attacked a different group than the government wanted attacked",53,1,5,5,9,2
72.130.92.246,1,3,5,"In 1960's the government of a small Eastern European country plotted to secretly start a war using industrial workers, in order to get revenge on the wealthy citizens of the Shaki village. ",22,1,2,5,8,2
76.27.212.144,1,5,7,"The government wanted workers to attack a wealthy village, and set up conditions in which they thought they would. The workers ended up attacking a village the government did not anticipate.",27,1,5,5,7,2
76.206.216.214,1,1,7,A government wanted to punish a group of people but the plan backfired.,37,1,5,5,7,2
173.233.178.181,1,1,7,A government orchestrated events that went wrong.,27,2,5,2,9,2
71.176.135.206,1,1,7,The government planned to start a war using industrial workers in order to get revenge on the wealthy  citizens of a small village,35,1,5,5,5,2
173.44.138.234,1,6,6,"The government of a country created conditions to cause workers to rise up against the enemies of the government. Unfortunately, the workers attacked a completely different group of people.",43,1,5,5,3,2
70.105.233.247,1,4,6,A war was started by invading a village destroying farms and machinery.,60,2,5,5,8,2
108.2.168.182,1,5,7,,,,,,,2
75.131.60.122,1,5,6,,,,,,,2
50.155.179.108,1,6,4,A small town was targeted by industrial workers for being too wealthy. ,23,1,5,4,5,2
173.50.98.21,1,5,6,The government starved out a city. Reports of a surplus caused workers to pillage a nearby town.,,,,,,2
99.159.208.174,1,2,4,,,,,,,2
142.197.254.100,1,4,7,,,,,,,2
63.247.1.2,1,4,6,,,,,,,2
63.138.112.195,1,4,4,,,,,,,2
69.246.148.122,1,5,7,,,,,,,2
172.1.120.218,1,5,6,"The government wanted revenge on the wealthy from the Shaki village. To do so, the government decided to destroy food stores and machinery so that the industrial workers would rebel against the wealthy in the SHaki village after they hear that they have excess food supply.",18,1,3,2,8,2
174.24.60.200,1,1,7,,,,,,,2
71.176.135.206,1,1,7,The government destroyed food stores and farm machinery in order to start a war on the wealthy citizens of a part of there country.,,2,5,5,7,2
