IPAddress,startDate,endDate,Consent,MturkID,instrTime,Condition,Scenario,causeQuestion,time,Blame,Cause,mediateTime,AttnCheck,Age,Gender,Ethnicity,Ethnicity_TEXT,Education,SES,conditionText,questionText
24.164.7.156,4/9/2014 12:00,4/9/2014 12:03,1,A2J4VO1NNL3GT8,5.01,1,1,0,24.821,3,6,7.036,Isabel has a very sick child who requires medicine  and her mother-in-law intentionally threw it away to force Isabel to steal medicine. Her mother-in-law wants custody of her daughter. Isabel broke into the doctor's office to get more medicine  as they were closed for a holiday.,22,2,5,,5,6,Mother in law Manipulation,Situ
172.56.10.239,4/9/2014 12:15,4/9/2014 12:22,1,A2RKEMN40D2ERY,3.06,1,1,0,72.25,6,5,11.91,isabels daughter needs medicine every day  her mothing in law threw away the medicne and isabell broke into dr office to get some,43,1,5,,4,4,Mother in law Manipulation,Situ
64.147.42.168,4/9/2014 12:38,4/9/2014 12:42,1,AAT1C3DBIYJRX,11.067,1,1,0,50.376,6,7,8.178,Isabel's daughter needs medicine but her mother-in-law throws away her medicine in hopes of getting custory of Isabel's daughter.  Isabel breaks into the doctor's office because it is closed in order to steal the medicine for her daughter.,25,1,5,,5,3,Mother in law Manipulation,Situ
71.58.70.117,4/9/2014 13:03,4/9/2014 13:06,1,ARR3UJTM2ZGK4,8.81,1,1,0,42.615,5,7,8.065,Isabelle steals medicine for her sick daughter because her mother-in-law stole all of her medicine  hoping Isabelle would steal it so she could get custody of Isabelle's daughter,51,2,5,,5,5,Mother in law Manipulation,Situ
162.193.163.85,4/9/2014 14:04,4/9/2014 14:09,1,A166A2M31CW2C7,0.09,1,1,0,195.115,5,6,4.462,someone planned to get custody by forcing the mother to break into a pharmacy to steal their child's medicine because they were out,25,1,5,,2,8,Mother in law Manipulation,Situ
216.227.9.145,4/9/2014 15:15,4/9/2014 15:18,1,A3BI0AX5T5GVO3,1.119,1,1,1,63.384,1,7,4.808,The mother-in-law despises Isabelle's mother and plans to get custody. The mother-in-law forces Isabelle to steal the medicine in the Doctor's Office after they broke through a window.,21,2,5,,4,5,Mother in law Manipulation,Made
75.102.220.107,4/9/2014 16:09,4/9/2014 16:12,1,A3VQTDZIGC2F0K,3.057,1,1,1,19.966,1,7,3.9,The mother  Isabel  was forced to steal medication for her very sick child because her mother threw away the child's medication. The doctors office was closed so she could not get another prescription and was forced to steal.,19,1,5,,4,4,Mother in law Manipulation,Made
24.99.69.161,4/9/2014 17:59,4/9/2014 18:00,1,AOPZSU77ONJXS,1.634,1,1,1,17.032,1,7,2.88,Isabel's daughter needs medicine. Isabel's mother in law is a bitch  and hatched a plan to make Isabel steal medicine. It worked. ,29,1,5,,5,7,Mother in law Manipulation,Made
71.87.95.236,4/9/2014 18:48,4/9/2014 18:51,1,A3EH26LZGAXHGX,0.842,1,1,0,21.68,5,6,3.331,Isabel's daughter had diesase that makes her need medication  Isabel's mother-in-law dosen't like Isabel  so she throws away her grandaughter's medicine. Isabel's panics and goes to doctor's office  which is closed and breaks in to steal her daughter's medicine.,30,1,5,,2,6,Mother in law Manipulation,Situ
107.139.25.117,4/9/2014 19:47,4/9/2014 19:51,1,A2DZAKIE1THA2I,7.165,1,1,0,44.821,4,4,33.407,Daughter runs out of medicine and has to break in,25,1,5,,5,8,Mother in law Manipulation,Situ
68.189.161.60,4/9/2014 19:49,4/9/2014 19:52,1,A4RMK9LD7UJP6,3.349,1,1,1,58.015,3,5,4.907,isabel's daughter needs daily medicine. Her mother in law  who doesnt like Isabel  threw away the medicine in order to get custody of the daughter. Isabel had to break in a doctors office in desparation.,38,1,5,,5,7,Mother in law Manipulation,Made
128.95.213.82,4/9/2014 19:53,4/9/2014 19:56,1,AENW881YO2H8S,2.605,1,1,1,28.289,2,5,34.748,Stepmother doesn't like stepdaughter and hatches a plan to get her info trouble involving her daughter and life-savings medications.,30,2,5,,5,8,Mother in law Manipulation,Made
76.173.163.7,4/9/2014 20:03,4/9/2014 20:07,1,A1K9GC497PIST7,5.483,1,1,0,57.608,5,7,11.977,Isabel was forced still medicine for her daughter because her supply was gone. Her mother-in-law was very wicked and discarded the medicine that Isabel needed for her daughter.,29,1,1,,4,4,Mother in law Manipulation,Situ
173.25.194.110,4/9/2014 20:06,4/9/2014 20:08,1,A19RUEYADULHZN,2.583,1,1,1,69.543,1,6,3.469,The mother in law got rid of the medicine. The mother broke in to a place to steal the medicine.,21,2,5,,5,5,Mother in law Manipulation,Made
184.78.242.75,4/9/2014 20:06,4/9/2014 20:10,1,AUTE7HAZ4RAPR,30.086,1,1,0,44.867,3,7,8.714,Isabel's daughter needs medicine everyday. Isabel's mother in law steals and throws away the medicine in hopes of getting custody of the granddaughter. Isabel stole medicine because she had no other options.,23,2,5,,5,5,Mother in law Manipulation,Situ
76.171.36.25,4/9/2014 20:14,4/9/2014 20:17,1,AEIJ7NNXMBQ45,3.253,1,1,1,22.425,1,7,6.681,Isabel's daughter needs medicene daily for her condition. Isabel's Mother in law threw out the girl's medication making Isabel desperate enough to steal.,31,2,5,,4,7,Mother in law Manipulation,Made
70.183.192.60,4/9/2014 20:17,4/9/2014 20:19,1,A123F7829DTAYZ,2.334,1,1,0,38.328,5,7,3.919,isabels mom threw away medicine so she could not give her daughter any. this caused her to steal medicine and take custody of her granddaughter,22,,5,,5,6,Mother in law Manipulation,Situ
174.101.49.180,4/9/2014 20:27,4/9/2014 20:30,1,A32CMQGGTSUK6Z,1.227,1,1,1,20.197,6,6,4.472,"Mother had intention of gaining custody of daughter in law's child be taking all of the child's medication and ""forcing"" the daughter in law to steal from a doctor's office.",28,1,5,,5,5,Mother in law Manipulation,Made
74.4.53.136,4/9/2014 20:29,4/9/2014 20:32,1,AWRMHUCV3KAW9,6.661,1,1,0,43.083,2,7,5.424,Isabel's daughter was very sick and needed to take important medicine daily.  Isabel's mother-in-law doesn't like her and throws away the medicine to get Isabel to steal the medicine so Isabel gets in trouble.  Isabel notices there is no medicine left.  Since the doctor's office is closed  she steals the medicine.,34,2,5,,3,7,Mother in law Manipulation,Situ
67.191.111.29,4/9/2014 20:33,4/9/2014 20:35,1,A2D2PAD9XLZ1TC,4.525,1,1,1,33.332,2,7,3.611,Isabela's kid has a disease that requires meds for his to survive.  In-law got rid of the medicine and forced Isabella to take extreme and illegal measures.,45,1,5,,2,5,Mother in law Manipulation,Made
144.26.117.20,4/9/2014 20:39,4/9/2014 20:42,1,A261LKQDJVE13A,7.573,1,1,0,38.418,7,7,13.766,Isabel's mother in law is terrible and wants custody of her grand daughter.  She sets up a scenario where Isabel must steal life saving medication in order to obtain custody of the baby.,25,1,5,,5,4,Mother in law Manipulation,Situ
130.212.18.245,4/9/2014 20:41,4/9/2014 20:47,1,A3PYB8Z6FFWSOV,3.203,1,1,1,149.969,2,4,6.785,Isabel's daughter needs a type of medicine. Isabel's mother-in-law throws the medicine away and in desperation  Isabel breaks into the doctor's office to steal the medicine.,24,2,3,,4,10,Mother in law Manipulation,Made
71.238.76.45,4/9/2014 20:45,4/9/2014 20:50,1,A3EO5VVUS6CC9B,5.43,1,1,0,26.137,5,7,11.733,Isabel's mother-in-law wants to take  her child so she threw away the child's medicine.  Not being able to afford more caused Isabel to steal from the doctor's office.,29,2,1,,4,7,Mother in law Manipulation,Situ
170.75.32.5,4/9/2014 20:47,4/9/2014 20:50,1,A1VNSA0FMW3AJZ,26.068,1,1,1,35.577,7,2,4.632,A woman's daughter needs medication everyday and her mother in law wants custody of said daughter. Mother in law throws away the medication and the mother breaks into the doctor's office to steal someone else's medication.,31,2,5,,5,8,Mother in law Manipulation,Made
66.211.208.92,4/9/2014 20:53,4/9/2014 20:57,1,A22DP0ST9DWG9O,5.734,1,1,0,32.757,5,7,6.389,Isabel's mother-in-law stole her daughters life sustaining medication forcing her to steal some from her doctor's office.  She did this in the hopes of gaining custody of Isabel's daughter. ,37,1,5,,5,9,Mother in law Manipulation,Situ
74.96.140.98,4/9/2014 21:07,4/9/2014 21:10,1,AE0CQ0WI9GTR5,1.569,1,1,1,34.063,5,6,7.207,Isabel's daughter needed medicine daily. The mother in-law stole some of the medicine to help get custody of her granddaughter. When Isabel realized medicine was gone she panicked and stole medicine from the closed doctor's office. ,29,2,5,,6,6,Mother in law Manipulation,Made
108.2.143.20,4/9/2014 21:13,4/9/2014 21:15,1,A3J2KISKN3VSBP,1.551,1,1,0,24.223,1,7,2.965,Isabel's daughter has a rare disease and must take medicine administered by Isabel every day. Isabel's mother-in-law plotted against Isabel by throwing away the medicine  forcing Isabel to steal more medicine.,24,2,5,,5,5,Mother in law Manipulation,Situ
50.151.130.155,4/9/2014 21:24,4/9/2014 21:26,1,A22SNAMBBLKMW7,3.605,1,1,1,23.38,2,7,3.424,The mother-in-law of Isabel is evil. Isabel steals medicine as a result.,23,2,3,,5,5,Mother in law Manipulation,Made
67.41.86.40,4/9/2014 21:25,4/9/2014 21:28,1,A3NMKKQ5RCMW0K,2.332,1,1,0,43.819,1,7,5.968,Isabel's mother in law is a horrible person who should be shot.,30,2,5,,5,7,Mother in law Manipulation,Situ
97.102.155.99,4/9/2014 9:32,4/9/2014 9:36,1,A3862RIFFUV141,2.15,0,1,1,28.896,5,5,37.99,A woman steals important medicine for her daughter after her mother-in-law accidentally throws it away.,43,1,5,,4,8,Mother in law No Manipulation,Made
50.159.18.116,4/9/2014 9:29,4/9/2014 9:36,1,A27LGC4MU1R7PQ,2.29,0,1,0,353.558,4,4,8.042,Isabel's daughter has to take medicine daily to treat an otherwise fatal disease. When her mother in law accidentally throws out the medicine  Isabel breaks into the doctor's office and unwittingly steals another child's medicine for her daughter.,24,1,5,,5,8,Mother in law No Manipulation,Situ
74.242.73.116,4/9/2014 9:39,4/9/2014 9:43,1,A3SI83QHG0L2P1,4.418,0,1,0,29.901,6,6,13.271,Isabella had to break into a doctor's office to retrieve critical medicine for her daughter after her mother-in-law inadvertently threw it away.,55,2,5,,5,8,Mother in law No Manipulation,Situ
66.194.51.226,4/9/2014 9:51,4/9/2014 9:55,1,A2EEUQ0YY2XIU,1.756,0,1,0,25.641,5,6,5.912,Isabelle's medicine was thrown away and her grandmother had to break into a doctor's office to get more. ,42,1,4,,4,6,Mother in law No Manipulation,Situ
208.100.40.49,4/9/2014 10:06,4/9/2014 10:12,1,AS2WTWYVRW9BV,1.539,0,1,0,26.812,3,7,4.666,the medicine had to be stolen since the pharmacy and dr office were closed,36,1,5,,2,4,Mother in law No Manipulation,Situ
68.226.60.25,4/9/2014 10:25,4/9/2014 10:28,1,A1FCOYD9W280QC,1.532,0,1,0,22.887,3,7,4.184,Isobel's daughter was taking medicine she needed to survive. Her mother-in-law accidentally threw it away. Isobel was not able to get more from the doctor because the office was closed  so she broke in and stole medicine prescribed for another child.,32,2,5,,8,6,Mother in law No Manipulation,Situ
108.84.109.95,4/9/2014 10:45,4/9/2014 10:47,1,AUJYDLLP0JMMF,6.383,0,1,0,17.608,3,7,6.326,The daughter ran out of medication because it was accidentally thrown away. The mother had to break into the doctor's office to get more.,35,1,5,,5,5,Mother in law No Manipulation,Situ
50.32.69.9,4/9/2014 11:26,4/9/2014 11:32,1,A1DK836V92J78C,14.93,0,1,1,65.015,6,7,29.323,Isabel's daughter requires medicine to live  but her grandmother threw it away  so Isabel broke into a doctor's office and stole the medicine.,40,1,5,,1,9,Mother in law No Manipulation,Made
50.148.106.33,4/9/2014 11:31,4/9/2014 11:33,1,A9VYFZZS0EW0U,1.127,0,1,0,34.744,4,5,5.388,The grandmother threw away medicine that was needed and the mother had to break in to a doctor and steal the medicine because they were closed.,56,2,5,,5,4,Mother in law No Manipulation,Situ
98.253.80.76,4/9/2014 12:03,4/9/2014 12:06,1,A1Z7WFX7KV4JHD,2.77,0,1,1,36.463,5,1,4.622,Isabel's daughter needs medicine to survive. Her mother-in-law accidently threw it away  so Isabel stole some from the doctor's office.,32,1,5,,5,7,Mother in law No Manipulation,Made
73.48.224.241,4/9/2014 12:48,4/9/2014 12:50,1,AG6C6WZ1K04J0,4.848,0,1,1,27.591,2,2,4.165,the daughter needed medicine and the mother broke in during a holiday to get it.,32,1,5,,5,4,Mother in law No Manipulation,Made
83.233.218.246,4/9/2014 13:16,4/9/2014 13:19,1,A1A6QWWGNGUGEN,2.681,0,1,1,19.648,5,3,5.199,Isabel has a disease that requires her to take medicine every day  but her mother-in-law does not know about this. The mother-in-law throws away her medicine without realizing how important it is and Isabel's mother breaks into the doctor's office and steals the same medication that was meant for another child.,19,2,5,,2,7,Mother in law No Manipulation,Made
69.248.48.149,4/9/2014 13:54,4/9/2014 13:59,1,A2QHK3FRFCEDBJ,28.61,0,1,1,43.92,5,2,8.766,Little girl needs meds to live  mother in law does not know this and throws out the meds. Mother breaks in to doctors office to get the meds. ,30,1,5,,2,6,Mother in law No Manipulation,Made
208.163.129.201,4/9/2014 14:35,4/9/2014 14:39,1,A1D3CN5ZK0O04S,3.114,0,1,0,41.893,1,7,6.062,Isabel's mother in law threw away the medicine that Isabel's daughter needed to pretty much survive. Isabel paniced and broke into the clinic and stole another child's medicine.,21,2,1,,4,9,Mother in law No Manipulation,Situ
76.112.255.118,4/9/2014 16:14,4/9/2014 16:16,1,A3Q1A1ENV7F8V4,2.363,0,1,0,37.638,4,7,5.088,Isabel has a daughter who needs medicine to survive. She broke into a doctor's office to get the medicine.,27,2,5,,4,6,Mother in law No Manipulation,Situ
107.185.97.73,4/9/2014 17:15,4/9/2014 17:21,1,A1A13DW7P0TSX2,1.744,0,1,0,49.77,4,7,11.292,Isabels mother in law threw out Isabels daughters medication causing Isabel to brake into the doctors office to get more medication for her daughter.,21,2,5,,4,8,Mother in law No Manipulation,Situ
99.91.220.93,4/9/2014 19:17,4/9/2014 19:20,1,A1O8VYPPINGI8V,6.43,0,1,1,35.919,7,1,4.465,Isabel needs medicine  the mother-in-law acidently throws it away. The mother breaks in to the doctors office to get more because it was closed.,21,1,5,,4,8,Mother in law No Manipulation,Made
72.193.17.61,4/9/2014 19:41,4/9/2014 19:43,1,AKQO0F9NFRMYT,4.268,0,1,1,23.067,3,5,4.006,the mother in law threw out meds that isables child needed and she broke into the dr.s to get it.,24,1,5,,2,9,Mother in law No Manipulation,Made
71.47.29.173,4/9/2014 19:52,4/9/2014 19:55,1,A2DQ38XP59N0P7,3.662,0,1,0,46.338,2,7,5.432,Isabel's daughter has a rare disease in which she needs to take a medicine daily to survive. Her mother in law is unaware of this an accidently throws out the medicine  this leads to Isabel breaking into a daughters office to attain the medicine for her child.,30,2,1,,5,3,Mother in law No Manipulation,Situ
166.216.157.27,4/9/2014 19:53,4/9/2014 19:56,1,A20V093N43Q062,2.144,0,1,0,17.057,1,7,10.721,Daughter runs out of medicine because it got thrown away. Mom breaks into the closed drs office to steal it. She had to have it ,31,1,5,,4,6,Mother in law No Manipulation,Situ
75.186.17.140,4/9/2014 19:56,4/9/2014 19:58,1,A256FHXGSY0E5D,3.487,0,1,1,10.907,5,1,3.04,Mother's mother-in-law threw away daughters medicine  Mother broke into doctors because they were closed and stole the medicine her daughter needed to live.,30,1,5,,4,9,Mother in law No Manipulation,Made
71.135.39.7,4/9/2014 19:59,4/9/2014 20:01,1,AI258R8HU53PT,1.539,0,1,1,29.511,7,1,4.314,Isabel has a daughter that needs to take medicine everyday. The mother-in-law doesn't know this and trashes the medicine which compelled Isabel to break into the doctor's office to steal another kid's medicine.,24,1,3,,5,3,Mother in law No Manipulation,Made
192.80.1.149,4/9/2014 20:01,4/9/2014 20:04,1,A1GEJHBBGGV1F,3.804,0,1,0,21.414,5,7,8.389,mother has sick daughter  mother in law threw medicine away. mother broke into dr's office to get medicine,40,2,5,,6,5,Mother in law No Manipulation,Situ
24.164.7.156,4/9/2014 20:03,4/9/2014 20:05,1,A3OQAXU3STYCI9,3.719,0,1,0,50.672,5,5,5.979,Isabel broke into a doctor's office and stole medicine because her mother threw away her daughter's prescription and Isabel thought there was no other way to obtain the medicine.,29,1,5,,5,8,Mother in law No Manipulation,Situ
108.51.54.249,4/9/2014 20:04,4/9/2014 20:06,1,A2QY5XH974RBLZ,2.638,0,1,1,17.623,6,1,8.434,Medicine was needed by a child to survive. It was unknowingly thrown out and had to be stolen so the child could live,22,1,5,,5,5,Mother in law No Manipulation,Made
69.23.62.185,4/9/2014 20:09,4/9/2014 20:12,1,A1540711VBZP6H,8.673,0,1,1,21.976,4,2,6.357,Isabel's daughter needs medicine to live. Her grandma threw it away. Isabel stole medicine for her daughter because she was afraid she would die. ,26,2,3,,6,8,Mother in law No Manipulation,Made
71.87.63.94,4/9/2014 20:13,4/9/2014 20:15,1,A1NQWTNVPGU1ZV,2.867,0,1,0,22.148,5,7,4.675,Isabel's mother threw away her daughter's medicine which she needs to survive.,26,1,5,,4,8,Mother in law No Manipulation,Situ
68.62.197.145,4/9/2014 20:17,4/9/2014 20:21,1,A2DMYS1TO6ZAI1,8.294,0,1,1,57.261,1,3,6.731,Isabel's daughter has a disease that will kill her if she doesn't take medication. Isabel's mother-in-law threw away the medication by accident  so Isabel stole it from a closed doctors office.,23,1,5,,5,6,Mother in law No Manipulation,Made
71.197.43.251,4/9/2014 20:22,4/9/2014 20:25,1,A1VCAMP3XM62R4,4.641,0,1,0,28.156,5,7,11.521,Girl's daughter needed medicine. Medicine was thrown away accidentally  and doctors office was closed. So she broke in to get medicine.,31,1,5,,2,7,Mother in law No Manipulation,Situ
108.213.156.95,4/9/2014 20:31,4/9/2014 20:33,1,A1DJK2BUZBJR8I,2.101,0,1,1,37.082,4,4,3.62,the mother threw away her dauthers pill without realizing she needs them to live,24,1,2,,2,9,Mother in law No Manipulation,Made
73.50.26.17,4/9/2014 20:37,4/9/2014 20:39,1,A395MYCA9M7KGF,0.941,0,1,0,33.005,3,6,5.614,Isabel need medicine otherwise she can not survive her mother in law throws away her medicine and her month goes to the doctors breaks in and steals the medicine Isabel needs.,25,1,5,,5,7,Mother in law No Manipulation,Situ
207.38.151.179,4/9/2014 20:42,4/9/2014 20:45,1,A3HTQMT301GPAD,4.818,0,1,1,21.349,5,3,5.731,Isabel's daughter needs medication to survive  but the grandmother threw it out. Isabel ended up stealing the medicine to help her daughter.,21,2,3,,4,5,Mother in law No Manipulation,Made
108.221.193.196,4/9/2014 20:44,4/9/2014 20:46,1,AQDP0GD2B2K5,5.789,0,1,0,35.919,7,7,9.538,Isabel's mother in law threw away her daughter's medication that was needed for her survival. As a result  Isabel broke into the doctor's office and stole someone else's medicine,32,2,5,,5,5,Mother in law No Manipulation,Situ
74.138.12.130,4/9/2014 20:53,4/9/2014 20:57,1,AVCLG9XDXN0JV,11.749,0,1,1,69.34,2,1,15.664,Isabel mother in law accidently through away her medicine that she needs to survive. Since the doctor office was closed she broke in to get medicine for her daughter ,36,2,1,,6,6,Mother in law No Manipulation,Made
68.181.254.13,4/9/2014 21:01,4/9/2014 21:02,1,A2359YG3YH3M31,2.595,0,1,1,9.12,1,2,2.839,threw away medication that was essentially  had to break into doctors office for new meds,23,1,5,,2,8,Mother in law No Manipulation,Made
184.153.229.91,4/9/2014 21:03,4/9/2014 21:05,1,ANIRTJBXLLWKY,2.047,0,1,0,23.771,3,6,5.591,Isabel has a daughter that needs daily doses of medicine to survive. When the medicine was accidentally disposed of  Isabel had to break into the doctor's office to get more.,39,1,5,,6,6,Mother in law No Manipulation,Situ
72.220.27.112,4/9/2014 21:18,4/9/2014 21:21,1,A2TLYMTFPCZVMM,4.219,0,1,1,37.37,6,5,5.604,Isabel broke into a doctor's office to steal medicine for her daughter. Her daughter's life depended on it.,28,1,2,,4,8,Mother in law No Manipulation,Made
96.247.34.226,4/9/2014 21:18,4/9/2014 21:25,1,A218S9QMWS15U,25.386,0,1,0,76.707,7,4,26.754,Isabelle's daughter needs medicine daily to treat a rare disease and when her grandmother threw the medicine away  Isabelle panicked  broke into closed doctor's office and stole some medicine.,54,2,5,,4,6,Mother in law No Manipulation,Situ
129.118.94.17,4/9/2014 9:27,4/9/2014 9:31,1,A3N046BQO97J2E,11.342,1,2,0,59.615,6,7,11.664,Mike was really to blame  but since Thad was trapped by a lack of steel braces supply and the availability of the newer braces that Mike provided  Thad is blamed for the worker's injury and one death when the faulty braces collapse the new part of his mine. It was all part of Mike's plan to take out his competition.,34,2,5,,5,8,Mining Collapse Manipulation,Situ
68.74.184.198,4/9/2014 9:30,4/9/2014 9:41,1,ANPCXN619ACW9,185.139,1,2,0,70.584,4,5,7.754,Mike bought all the steel braces so there wouldn't be anymore for Thad. The mine collapses and someone dies.,24,2,5,,4,5,Mining Collapse Manipulation,Situ
12.205.252.88,4/9/2014 9:39,4/9/2014 9:42,1,A3NN9144OLETQP,13.066,1,2,1,69.282,7,7,3.692,Mike wanted to run Thad out of business. He gave Thad weak braces to use in his mine  which resulted in a collapse.,25,1,5,,5,7,Mining Collapse Manipulation,Made
68.185.131.120,4/9/2014 9:40,4/9/2014 9:43,1,A2XXE5GZ5IL2DN,3.117,1,2,0,70.025,2,6,9.334,Mike tried to get Thad to use unstable braces in his mine in order to put him out of business. Mike bought all of the steel braces available so that Thad would have no choice but to use the experimental braces.,35,1,5,,2,8,Mining Collapse Manipulation,Situ
66.176.52.29,4/9/2014 9:58,4/9/2014 10:01,1,A2Q7KP4H6O4P9X,4.464,1,2,0,50.453,5,6,5.447,Mike wanted Thad out of the mining business  so he set it up so that Thad had to use inferior bracing materials. The material deteriorated  and Thad's mine collapsed  injuring many and killing one.,26,1,5,,3,8,Mining Collapse Manipulation,Situ
173.185.215.58,4/9/2014 10:19,4/9/2014 10:23,1,A1KZ6I92SWIN75,8.816,1,2,1,90.504,3,5,3.975,Mike and Thad own mines and Mike wants Thad's mine to fail  so he suggests bracers that deteriorate easily.  Thad uses the bracers and his mine collapses.  Mike is happy.,32,2,5,,4,8,Mining Collapse Manipulation,Made
71.233.142.52,4/9/2014 10:37,4/9/2014 10:43,1,A347BIKLDRUUXM,9.102,1,2,1,91.792,2,7,10.839,Mike and Thad both had a mining company near by  and Mike was eager to expand his business and make more money. He decides to try to out his competition (Thad) by suggesting he use a material to help support the structure of the mine  knowing full well that the material deteriorates with moisture - which Thad's mine has a lot of. He forces That to use this material and the result was a destroyed mine and injured workers.,26,1,5,,2,8,Mining Collapse Manipulation,Made
50.45.16.243,4/9/2014 11:07,4/9/2014 11:11,1,A12ZB13IA3SB6U,5.389,1,2,0,103.03,3,7,22.764,Mike is trying to run other miners out of business.  He tells Thad about a new cheaper and quicker material to help support the mines  but they deteriorate quickly.  Mike buys all the steel so Thad has no choice in what to buy.,28,2,5,,4,8,Mining Collapse Manipulation,Situ
24.227.24.138,4/9/2014 11:26,4/9/2014 11:29,1,AQ7CDJXI2LFL5,12.208,1,2,1,63.389,5,7,4.748,Mike is an immoral sociopath that tricked Thad into using inferior hardware so he Thad could go out of business.,24,1,2,,4,7,Mining Collapse Manipulation,Made
174.63.151.104,4/9/2014 11:32,4/9/2014 11:37,1,A3GZLLM0Y15DQF,5.577,1,2,1,76.997,1,1,7.032,Mike wanted Thad to go out of business. He worked things out so that the only supplies that Thad could buy at the time were poor quality  resulting in death and the closing of Thad's mine.,53,1,5,,4,6,Mining Collapse Manipulation,Made
24.126.26.223,4/9/2014 11:55,4/9/2014 11:58,1,A5WT9A94RVBYP,0.819,1,2,0,62.775,5,6,5.846,Mike was a son of a bitch who lied to Thad about the durability and strength of new braces then purchased all the steel braces so Thad couldn't purchase any. Thad ultimately tried out the new braces  which sucked since afterward his mine collapsed and several workers were injured  with one casualty.,29,1,5,,3,7,Mining Collapse Manipulation,Situ
74.76.210.124,4/9/2014 12:18,4/9/2014 12:23,1,A23QCUF4E7KM8G,6.963,1,2,0,134.056,4,7,20.315,Mike considers Thad a younger brother. Mike deceives Thad into a failing move for his mine  and goes out of business.,23,1,5,,2,3,Mining Collapse Manipulation,Situ
98.212.3.157,4/9/2014 12:32,4/9/2014 12:36,1,A37L0IHMRJRZYC,6.972,1,2,0,48.547,1,5,57.548,Mike and Thad both owned mines. Mike wanted the most money from mining so he sabotaged Thad's mine and people ended up getting injured and dying. ,25,2,5,,5,7,Mining Collapse Manipulation,Situ
35.2.175.40,4/9/2014 13:15,4/9/2014 13:19,1,A21QOI1UW1IZEE,3.711,1,2,0,58.06,4,5,3.99,Mike wanted to put Thad's new mine out of business  so he sabotaged it by creating a situation where Thad was likely to use unstable braces to fortify his mine. The mine collapsed and was shut down permanently.,22,1,3,,4,5,Mining Collapse Manipulation,Situ
67.177.53.53,4/9/2014 14:07,4/9/2014 14:09,1,AQ7RNVB2GZKUZ,7.274,1,2,0,47.7,7,7,5.306,Mike wanted Thad to go out of business so he set up a situation where's he'd had to use unsage materials. Then the mine collapsed.,31,2,5,,4,6,Mining Collapse Manipulation,Situ
