IP_Address,Consent,Instr_Time,Condition,Scenario,Blame,Made,Because,Cause,Blame,Wrong,Bad,Time1,Time2,AttnCheck,Age,Gender,Ethnicity,Ethnicity_TEXT,Education,SES,Condition,Mediator_Order
173.8.61.121,1,6.404,0,1,6,2,5,4,5,6,2,43.155,26.415,An Eastern European government started an economic plan using industrial workers. The plan failed miserably; and the workers of the town lost all their food and raided a neighboring town as a result.,21,1,5,,4,7,Industrial Workers No Manipulation,IW_Made|IW_Blame|IW_Bad|IW_Because|IW_Wrong|IW_Caused|IW_Med_Tim
27.55.170.57,1,1.691,0,1,7,5,6,5,6,7,6,35.813,25.933,the government sought to use industrial workers to up their gdp they screwed up and burnt down some farms and farm equipment which made sure there wouldn't be enough food for everyone and things got bad. Then the government said on the radio that a neighboring city had a food surplus and the workers raided the city stealing food and killing people...the government thought their plan might be bad,47,1,5,,4,8,Industrial Workers No Manipulation,IW_Med_Tim|IW_Bad|IW_Made|IW_Blame|IW_Caused|IW_Because|IW_Wrong
134.174.21.27,1,2.633,0,1,6,3,5,6,5,6,5,26.901,18.086,Government in Eastern Europe made a program that unintentionally caused a food shortage.  Workers from the city thus raided a nearby village for food and caused a lot of damage.,23,1,5,,5,4,Industrial Workers No Manipulation,IW_Because|IW_Made|IW_Blame|IW_Med_Tim|IW_Wrong|IW_Caused|IW_Bad
108.52.122.208,1,5.074,0,1,6,1,6,3,5,6,5,41.221,18.178,An eastern European government was trying to institute a new program to use workers to increase the countries' wealth. Something went wrong and they lost food stores in fires; with a lack of food; people rioted. They found a surplus of food in a village on the border and raided it; killing innocents. The government felt bad.,32,1,5,,4,5,Industrial Workers No Manipulation,IW_Because|IW_Caused|IW_Made|IW_Med_Tim|IW_Wrong|IW_Bad|IW_Blame
76.119.240.44,1,1.797,0,1,7,1,1,1,1,7,4,36.61,18.86,As part of a plan to stimulate the economy; equipment and stores were destroyed accidentally; depleting the food supply. In response; workers went to a nearby village to steal food and kill people.,34,2,5,,6,7,Industrial Workers No Manipulation,IW_Caused|IW_Wrong|IW_Because|IW_Med_Tim|IW_Made|IW_Bad|IW_Blame
65.129.92.248,1,2.794,0,1,6,1,4,2,2,4,2,42.236,36.005,The government of a small European country wanted to increase their country's wealth; but instead accidentally reduced the food supply; which then led the workers to raid a nearby village for food.,18,1,5,,4,5,Industrial Workers No Manipulation,IW_Blame|IW_Because|IW_Med_Tim|IW_Wrong|IW_Bad|IW_Caused|IW_Made
67.172.90.19,1,5.968,0,1,7,3,5,5,4,4,4,16.817,27.839,The industrial workers stole from a village & killed the people there.,22,1,5,,4,6,Industrial Workers No Manipulation,IW_Because|IW_Wrong|IW_Med_Tim|IW_Made|IW_Caused|IW_Blame|IW_Bad
67.199.181.87,1,3.077,0,1,7,1,3,4,6,5,3,50.713,22.162,A small Eastern European country was trying a new system to make money; but they accidentally set fire to some food storage. There was a severe food shortage in the city; and some workers attacked some farms that had a surplus and killed some people while taking their food.,28,2,5,,4,6,Industrial Workers No Manipulation,IW_Blame|IW_Made|IW_Med_Tim|IW_Caused|IW_Wrong|IW_Because|IW_Bad
50.117.61.68,1,45.033,0,1,4,5,5,4,3,5,6,18.499,34.142,in 1950's govt wanted to start a new economic program using industrial workers to increase country's wealth,27,1,3,,5,3,Industrial Workers No Manipulation,IW_Blame|IW_Because|IW_Wrong|IW_Med_Tim|IW_Caused|IW_Bad|IW_Made
108.29.105.75,1,8.453,0,1,5,5,5,6,5,7,4,85.49,37.836,The government from a city started a new program that would increase their economy through industrial workers. They accidentally set fire to machines and stores that produce food and then crime started to happen and eventually led to destruction and murder of another city,34,1,5,,4,6,Industrial Workers No Manipulation,IW_Med_Tim|IW_Caused|IW_Bad|IW_Wrong|IW_Because|IW_Blame|IW_Made
204.116.190.248,1,5.809,0,1,6,2,6,3,5,5,4,75.582,26.061,Small European country started a new economic program. As a result farm machinery and food stores were unintentionally destroyed; which caused industrial workers to raid a nearby town for food.,24,1,5,,5,7,Industrial Workers No Manipulation,IW_Because|IW_Made|IW_Blame|IW_Caused|IW_Wrong|IW_Med_Tim|IW_Bad
98.192.26.83,1,2.131,0,1,7,1,3,3,3,5,4,29.81,32.792,The government accidentally set fire to stores and the town ran out of food; so some workers went to another town and raided it and killed people.,36,2,5,,5,8,Industrial Workers No Manipulation,IW_Because|IW_Caused|IW_Blame|IW_Wrong|IW_Med_Tim|IW_Made|IW_Bad
108.233.0.38,1,2.026,0,1,7,1,2,3,2,5,2,15.828,16.281,A plan put into action by the government caused the people to be low in food. These people subsequently raided a neighboring village for food and caused a lot of damage.,36,2,3,,5,4,Industrial Workers No Manipulation,IW_Blame|IW_Bad|IW_Caused|IW_Wrong|IW_Made|IW_Because|IW_Med_Tim
67.232.158.161,1,1.895,0,1,2,5,5,5,5,5,5,19.476,11.334,government accidently hit a town with a bunch of fire. town went out of business; looting; etc and raided the town over killing many people.,22,,2,,4,6,Industrial Workers No Manipulation,IW_Made|IW_Caused|IW_Bad|IW_Because|IW_Med_Tim|IW_Wrong|IW_Blame
65.31.18.85,1,5.636,0,1,6,3,5,5,5,6,3,76.728,38.356,The government accidently set a food factory on fire which caused a lack of food.  A neighborhood had a surplus of food and so the workers invaded that neighborhood and killed people and stole the food.,20,2,5,,4,5,Industrial Workers No Manipulation,IW_Because|IW_Med_Tim|IW_Made|IW_Wrong|IW_Caused|IW_Blame|IW_Bad
108.90.93.46,1,7.64,0,1,7,1,1,1,6,6,4,50.757,32.59,The government wanted to start a new program and some of the machinery caught fire and destroyed some food factories and then the industrial workers went to a neighboring village to steal their food,42,2,5,,3,8,Industrial Workers No Manipulation,IW_Made|IW_Because|IW_Wrong|IW_Med_Tim|IW_Blame|IW_Caused|IW_Bad
98.243.90.182,1,9.221,0,1,7,3,5,5,5,4,2,27.375,20.794,The government unknowingly wrecked a city's farm equipment causing them to run out of food. Workers raided a nearby town.,24,2,5,,4,9,Industrial Workers No Manipulation,IW_Because|IW_Caused|IW_Made|IW_Wrong|IW_Bad|IW_Blame|IW_Med_Tim
108.16.188.112,1,2.208,0,1,6,4,6,2,2,5,4,27.809,22.587,The government accidentally destroy farm machinery and set ablaze several food stores. Workers begin to riot and raid a neighboring village for the food that the government had in which they heard they were surplus of.,23,1,3,,4,6,Industrial Workers No Manipulation,IW_Made|IW_Wrong|IW_Caused|IW_Bad|IW_Blame|IW_Med_Tim|IW_Because
75.108.141.164,1,3.579,1,2,7,1,7,7,7,7,7,68.951,34.852,Mike tricked Thad into using poor materials in his mine; which led to injuries and a death.,33,1,5,,3,4,Mining Collapse Manipulation,MC_Made|MC_Bad|MC_Caused|MC_Med_Tim|MC_Blame|MC_Because|MC_Wrong
76.14.121.50,1,18.858,1,2,2,6,7,7,7,7,7,142.944,35.729,Mike set Thad up for failure. Mike is coniving and tried to purposely destroy Thads benifit for his own personal gain.,28,1,5,,4,9,Mining Collapse Manipulation,MC_Caused|MC_Made|MC_Bad|MC_Because|MC_Med_Tim|MC_Wrong|MC_Blame
75.62.44.149,1,6.687,1,2,2,7,7,7,7,7,7,78.375,19.89,Mike gave poor construction materials to Thad to brace up his mine walls. The materials were faulty the mine walls collapsed and several workers were injured or killed.,61,1,5,,6,4,Mining Collapse Manipulation,MC_Blame|MC_Caused|MC_Med_Tim|MC_Wrong|MC_Made|MC_Because|MC_Bad
66.38.99.48,1,4.06,1,2,3,3,6,5,5,7,7,75.339,30.498,Mike and Thad have mines and Mike wanted Thad's business to end so he bought up all teh steel so Thad couldn't use it; Thand had to use a new material which in turn caused a collapse,28,2,,,4,8,Mining Collapse Manipulation,MC_Caused|MC_Because|MC_Wrong|MC_Med_Tim|MC_Bad|MC_Made|MC_Blame
24.146.146.17,1,3.634,1,2,3,3,7,7,7,7,7,63.192,31.71,Mike and Thad own a mining company. Mike wanted more business so he encouraged Thad to use some stuff in his mines that was unsafe. Thad didnt want to but mike bought all the regular steel so Thad had no other choice. Accident happened.,24,1,2,,4,8,Mining Collapse Manipulation,MC_Because|MC_Blame|MC_Wrong|MC_Med_Tim|MC_Bad|MC_Made|MC_Caused
75.69.1.45,1,2.005,1,2,7,6,7,6,7,7,7,46.729,61.888,Mike wanted Thad's mining business to fail so he bought all of the steel braces from a hardware store which forced Thad to use the new material. Mike knew the new material would fail when it got wet.,28,1,3,,6,6,Mining Collapse Manipulation,MC_Blame|MC_Because|MC_Made|MC_Med_Tim|MC_Bad|MC_Wrong|MC_Caused
71.8.114.78,1,1.794,1,2,5,6,6,6,7,7,7,76.54,17.425,Mike wanted his business to be more profitable so he lied to a competitor to make him use unsafe support braces. This caused his competitor to go out of business.,24,2,5,,4,7,Mining Collapse Manipulation,MC_Bad|MC_Caused|MC_Because|MC_Blame|MC_Med_Tim|MC_Made|MC_Wrong
70.123.198.9,1,8.651,1,2,2,7,7,7,7,7,7,95.682,22.376,Mike kind of forced Thad to buy the unsafe bracers that resulted in his mine collapsing; killing one person; and injuring two others all because Mike didn't want any competition. His competitor Thad's mine is now permanently closed.,20,1,5,,4,6,Mining Collapse Manipulation,MC_Wrong|MC_Caused|MC_Because|MC_Blame|MC_Made|MC_Bad|MC_Med_Tim
76.15.77.26,1,1.497,1,2,6,5,5,6,7,6,7,44.601,18.091,Unsafe materials were used in order to allow Mike to gain business. Mike knew what he was doing; but allowed Thad to use the unsafe material. The mine collapsed and people were injured; with one death.,25,2,5,,4,6,Mining Collapse Manipulation,MC_Because|MC_Wrong|MC_Caused|MC_Blame|MC_Bad|MC_Made|MC_Med_Tim
174.53.150.181,1,4.469,1,2,2,7,7,7,7,7,6,92.28,22.553,Mike is a ruthless business man and took advantage of a close relationship with Thad in order to make money,59,2,5,,4,8,Mining Collapse Manipulation,MC_Because|MC_Wrong|MC_Caused|MC_Blame|MC_Made|MC_Bad|MC_Med_Tim
71.92.219.70,1,3.212,1,2,2,2,3,2,6,7,6,66.085,19.298,Mike knew the braces would collapse because of the moisture but never mentioned it.,23,1,5,,5,8,Mining Collapse Manipulation,MC_Made|MC_Caused|MC_Blame|MC_Because|MC_Med_Tim|MC_Wrong|MC_Bad
24.10.132.180,1,5.091,1,2,3,3,5,7,7,7,6,61.029,20.745,Mike told thad about a new type of brace for a mine that deteriorates with water to try and get rid of thad ,26,1,5,,5,8,Mining Collapse Manipulation,MC_Med_Tim|MC_Wrong|MC_Blame|MC_Caused|MC_Because|MC_Made|MC_Bad
98.246.80.132,1,10.099,1,2,7,6,7,7,7,7,7,101.117,38.038,Mike gave Thad some braces for his mine that would deteriorate when wet. Mike then bought all the steel braces from the store so Thad would be forced to use the new braces he gave him.,30,1,5,,4,9,Mining Collapse Manipulation,MC_Caused|MC_Wrong|MC_Blame|MC_Med_Tim|MC_Made|MC_Bad|MC_Because
74.69.128.137,1,17.101,1,2,5,6,6,6,7,6,7,49.756,16.031,Mike suggested that a competitor use an unsafe material; without disclosing to him that it was unsafe. As a result; several of the competitor's employees were hurt.,33,1,3,,4,8,Mining Collapse Manipulation,MC_Bad|MC_Because|MC_Caused|MC_Blame|MC_Wrong|MC_Med_Tim|MC_Made
24.190.237.8,1,3.396,1,2,6,5,7,5,4,7,7,61.361,25.344,Mike made a devious plan to close his competitor's mine. This resulted in the injury and death of workers.,21,1,3,,3,5,Mining Collapse Manipulation,MC_Caused|MC_Blame|MC_Bad|MC_Wrong|MC_Made|MC_Because|MC_Med_Tim
67.166.135.98,1,2.542,1,2,3,2,2,3,4,1,1,10.9,13.048,a mine collapsed and killed one person because a different material was used as a brace for the mines. ,26,1,2,,5,7,Mining Collapse Manipulation,MC_Med_Tim|MC_Blame|MC_Made|MC_Wrong|MC_Because|MC_Bad|MC_Caused
24.196.102.204,1,13.902,1,2,4,4,5,5,6,6,5,112.623,24.85,Thad wanted to use steel braces because they were less risky; but Mike buys all the steel braces.  Thad then uses more risky braces that Mike provides him with; and workers are harmed.,31,1,5,,6,9,Mining Collapse Manipulation,MC_Made|MC_Bad|MC_Wrong|MC_Blame|MC_Because|MC_Caused|MC_Med_Tim
24.170.250.199,1,2.22,1,2,2,6,6,6,7,7,7,39.203,26.979,Mike came with a new material that is just as strong as steel braces; but it weakens when wet. Thad had no choice but to buy Mike's braces because there were no steel braces available. Thad's mine collapsed from Mike's braces.,21,1,5,,4,8,Mining Collapse Manipulation,MC_Med_Tim|MC_Wrong|MC_Made|MC_Because|MC_Caused|MC_Bad|MC_Blame
68.52.146.94,1,6.041,1,2,7,6,7,7,7,7,7,85.238,22.814,Mike is a cruel person that cares nothing about others' or their lives.  He purposely sabotaged Thad's operation and knowingly caused harm and death to Thad's workers.,38,2,5,,4,5,Mining Collapse Manipulation,MC_Because|MC_Blame|MC_Med_Tim|MC_Wrong|MC_Caused|MC_Made|MC_Bad
68.80.73.185,1,3.767,1,2,6,7,7,7,7,7,7,88.685,12.386,  Mike owns a mining company and tried to get Thad to buy these cheaper braces; to help Mike's Business. Thad decides to use steel so Mike goes and buys all the steel braces; so that Thad has to use the cheaper braces; which causes Thad's mine to collapse.,26,2,5,,5,5,Mining Collapse Manipulation,MC_Wrong|MC_Caused|MC_Bad|MC_Med_Tim|MC_Made|MC_Blame|MC_Because
99.125.67.13,1,3.266,1,2,5,5,5,5,5,5,5,8.141,18.903,Mike forces Thad to use the new material as braces because Mike bought out the supply and left Thad with the new material even though Mike knew it would deteriorate.,25,1,3,,6,4,Mining Collapse Manipulation,MC_Caused|MC_Wrong|MC_Because|MC_Med_Tim|MC_Made|MC_Bad|MC_Blame
99.100.102.37,1,1.76,1,2,5,5,7,6,6,7,5,48.95,12.514,Mike has convinced Thad to use less than stellar brace materials that ended up collapsing within Thad's mine. This caused injury to 2 of Thad's workers and one actually died.,22,1,5,,4,5,Mining Collapse Manipulation,MC_Made|MC_Caused|MC_Med_Tim|MC_Blame|MC_Because|MC_Wrong|MC_Bad
71.199.49.152,1,12.147,1,2,7,6,6,5,7,7,7,56.425,36.798,Mike tricks Thad into using inferior materials in hopes of driving him out of business. The material collapses in Thad's mine and one worker dies; while others are injured.,30,2,5,,4,7,Mining Collapse Manipulation,MC_Made|MC_Blame|MC_Bad|MC_Caused|MC_Med_Tim|MC_Wrong|MC_Because
209.179.106.36,1,6.227,1,2,6,4,7,4,7,7,7,66.756,15.269,Mike and Thad are the owners of two distinct mines; and Mike devises an evil plan to close down Thad's mine so as to knock out his competitor. He persuades Thad to use unsafe building material which deteriorates when wet; so Thad uses this material and his mine collapses. Then his business get shut down. Hooray for Mike! ,23,2,5,,5,7,Mining Collapse Manipulation,MC_Med_Tim|MC_Because|MC_Blame|MC_Wrong|MC_Bad|MC_Caused|MC_Made
23.30.23.173,1,2.071,0,2,5,3,5,5,4,3,3,75.072,14.174,Mike recommended that Thad use a new kind of brace in Thad's mine because Mike had a lot of the braces lying around and they were cheaper to buy and install.  Thad didn't want to use the braces; but ended up doing so and they turned out to be bad and the mine collapsed.,27,1,5,,5,3,Mining Collapse No Manipulation,MC_Blame|MC_Made|MC_Med_Tim|MC_Bad|MC_Caused|MC_Wrong|MC_Because
108.1.233.153,1,4.069,0,2,3,5,5,5,5,5,4,79.37,21.165,Mike recommended a new material to Thad for bracing mine structures. Thad decided to use steel; but Mike had bought it all up and then brought Thad the new material. Thad used it but the conditions in his mine were worse and it collapsed; injuring several workers.,23,1,5,,4,8,Mining Collapse No Manipulation,MC_Wrong|MC_Med_Tim|MC_Caused|MC_Bad|MC_Made|MC_Because|MC_Blame
71.215.79.56,1,4.707,0,2,7,3,5,5,5,4,4,102.892,17.859,Mike and Thad own mining companies; Mike has been using a different kind of bracing that is cheap and faster to put up. He tells Thad about it; although Thad wants to use steel; he puts up the new bracing. It deteriorates and causes a collapse which injured workers and killed one worker.,24,1,2,,4,8,Mining Collapse No Manipulation,MC_Caused|MC_Because|MC_Med_Tim|MC_Made|MC_Bad|MC_Wrong|MC_Blame
72.221.121.133,1,1.323,0,2,6,5,5,6,5,6,3,108.723,24.585,One person suggested to use a weak material that was cheap but deteriorated to support mine. It was used. People died.,26,1,5,,5,5,Mining Collapse No Manipulation,MC_Med_Tim|MC_Wrong|MC_Caused|MC_Made|MC_Blame|MC_Bad|MC_Because
63.96.45.3,1,4.417,0,2,4,3,2,3,1,1,1,113.269,34.746,Mike gave Thad material for his mine that failed and caused a collapse that injured a few workers and killed one. Mike was unaware that the material could cause this beforehand.,25,1,2,,4,6,Mining Collapse No Manipulation,MC_Made|MC_Bad|MC_Caused|MC_Wrong|MC_Med_Tim|MC_Because|MC_Blame
98.228.9.55,1,7.442,0,2,5,2,5,2,5,5,2,123.208,23.748,One mine owner gave another mine owner some braces; The second mine owner wanted to use steel; but instead used the offered non-steel braces; that were inferior to steel.  The non-steel braces failed due to moisture and hurt and killed employees.  Neither owner knew that the braces were inferior prior to the failure.,42,1,5,,5,7,Mining Collapse No Manipulation,MC_Made|MC_Bad|MC_Blame|MC_Wrong|MC_Caused|MC_Med_Tim|MC_Because
128.119.169.247,1,5.389,0,2,3,1,4,3,3,3,3,163.368,50.566,Mike and Thad were two owners of a local mining company.  Thad is given advice by Mike about using a new material; which doesn't work out in his mine.,20,1,5,,4,7,Mining Collapse No Manipulation,MC_Made|MC_Bad|MC_Med_Tim|MC_Caused|MC_Because|MC_Wrong|MC_Blame
74.67.181.62,1,7.394,0,2,6,1,1,1,1,2,1,189.477,35.304,Mike had some extra material that he said was just as strong as steel that could help hold up thad's mine.  He didn't know this material deteriorated with moisture;.  Thad used the material even though it wasn't tested like steel and took a chance and several of his workers were injured in a mine collapse and one killed.  ,29,1,5,,5,6,Mining Collapse No Manipulation,MC_Bad|MC_Made|MC_Wrong|MC_Caused|MC_Blame|MC_Med_Tim|MC_Because
129.3.139.236,1,2.472,0,2,5,1,2,2,3,2,2,64.854,20.473,Mike gave Thad new material to support his mine; however; this new material wasn't well tested. Thad's mine collapsed and people were injured; one died.,21,1,5,,5,4,Mining Collapse No Manipulation,MC_Bad|MC_Made|MC_Med_Tim|MC_Blame|MC_Caused|MC_Wrong|MC_Because
209.200.196.18,1,3.733,0,2,5,5,6,5,3,6,2,42.384,18.695,Mike told Thad about some new braces that were stronger and faster.  Unfortunately; those braces deteriorate when wet; and shortly after installation; they failed.,26,1,5,,5,5,Mining Collapse No Manipulation,MC_Bad|MC_Wrong|MC_Made|MC_Because|MC_Blame|MC_Caused|MC_Med_Tim
