Subj,Consent,Condition,Blame,Cause,Made,Because,Time,Summary,Age,Gender,Ethnicity,Education,SES
53,1,1,7,5,4,3,40.326,A government's unsuccesful plan led to destroyed food resources and caused violent actions to break out in a villiage. ,19,2,3,4,4
54,1,1,5,6,1,7,30.982,"The government tried to improve the economy, but they accidentally set fires that destroyed food, causing widespread famine, violence, killing, and looting",22,2,5,5,6
55,1,1,6,2,3,3,40.343,"Government incompetence created a food shortage in the city. People rioted and stole food from a village that had it, killing innocent people.",31,2,5,5,5
56,1,1,5,3,3,5,31.499,An Eastern European government tried a new economic plan that failed badly and people went hungry. One village raided another for food and killed people.,33,2,5,5,8
57,1,1,1,1,1,3,38.527,"Due to a government mistake, food production was scare. Hungry citizens heard that a place nearby had food, and thus raided the area in desperation. ",24,2,5,5,8
58,1,1,4,4,5,4,4.463,There was an accident.,22,1,6,5,5
59,1,1,6,2,1,2,37.441,A government came up with a new plan for economic growth.  While implementing the plan they accidentally destroyed a bunch of food which created a shortage.  One group of people attacked a town with a food surplus.,29,1,5,4,7
60,1,1,4,4,2,4,25.812,"Because of the poor government intervention, workers were left to fend for themselves. ",32,1,5,5,6
61,1,1,4,5,2,5,35.425,"The government destroyed food stores in the country and the capacity to create more food, resulting in a large food shortage. When a neighboring village was discovered having a surplus of food, the destitute villagers raided it.",20,1,5,4,6
62,1,1,5,4,3,5,69.142,A european govt's plan to increase food production failed and caused an uprising.,22,1,5,4,8
63,1,1,5,4,4,5,11.216,John was involved in a business situation,21,1,5,2,4
64,1,1,3,5,5,5,79.764,"Government incompetence threw a country into chaos and starvation, causing industrial workers to kill others while taking food.",50,1,3,6,6
65,1,1,7,1,1,1,30.106,"The government screwed up and caused several buildings to burn, resulting in a city losing crucial food supplies. As a result, the hungry citizens went and pillaged a neighboring village.",18,1,5,4,6
66,1,1,4,6,4,4,30.576,Government caused a food shortage. The workers then raided a smaller village out of need.,19,1,5,2,9
67,1,1,5,7,6,6,2.358,The workers were outraged with the government. it forced them to take action,21,1,5,2,8
68,1,2,4,7,5,6,30.26,Government of Eastern European country plotted to start a war. They limited food supplies to make people turn on each other.,24,2,5,5,5
69,1,2,4,5,6,4,33.509,The government set up a food shortage hoping starving people could be harnessed to start a war.  They were right.,28,1,5,5,6
70,1,2,4,2,4,5,3.183,i dont remember anything,22,1,5,5,9
71,1,2,3,3,1,4,2.425,i do not remember,23,2,5,4,10
72,1,2,5,3,3,3,261.66,government engineered a famine. government reported food available at border village,52,1,5,5,8
73,1,2,2,6,6,5,48.452,A government of one country caused a food shortage that lead to their workers raiding a neighboring country.,26,1,5,5,5
74,1,2,1,7,3,7,31.871,The government intentionally destroyed food stores and production equipment to cause workers to start a war with a neighboring country.,26,1,5,6,7
75,1,2,5,6,6,6,16.208,A gov't wanted to start a war with a neighboring country so they limited their own food supply. Then once workers heard the other country had an excess of food they attacked it.,19,1,5,4,3
76,1,2,7,6,4,6,56.777,"Because the government wanted to control the food, not only did they burn and destroy farms stores, their citizens starved. As a result, they heard on the radio from a government station that a nearby village had surplus, where they ended up going and raided.",33,2,2,4,8
77,1,2,5,7,4,1,76.702,Government wanted to take down a neighboring country and intentionally destroyed food in their country.  Which made the people go after the neighboring country for food killing people.,33,2,5,4,4
78,1,2,6,4,2,7,26.708,A government created a food shortage to force a violent attack on a neighboring country.,19,1,5,4,6
79,1,2,5,5,5,5,30.545,"a government starved a small village, knowing that there was a surplus of food right across the border and their own people would raid the neighboring village, essentially starting a war.",33,1,5,4,6
80,1,2,5,4,5,4,28.515,"In the 1950s, the government of a small Eastern European country plotted to secretly start a war, using industrial workers, and get revenge on a neighboring country.",23,1,5,2,10
81,1,2,4,7,5,7,27.534,The government manipulated people to start a war with their neighbors by attacking their own resources,35,2,4,5,9
82,1,2,4,6,2,6,65.488,A small village was put out of food because of the governments actions on them.,37,2,5,4,7
83,1,2,4,6,5,6,30.014,The government destroyed food stores to cause a shortage which made the citizens attack a nearby village because they had food.,28,1,5,5,6
84,1,2,6,5,2,5,43.415,The government was plotting to have the industrial workers start a war.,32,1,5,5,5
85,1,2,2,7,4,7,24.445,The government destroyed the food stock of a community of farmers which led to them attacking a neighboring area for food.,23,2,5,4,7
86,1,2,5,5,4,5,36.332,"The government wanted to go to war with a neighboring country, rather than go about this directly they caused a food shortage which incited a riot and caused workers to pillage the neighboring country for food and supplies.",42,2,5,4,8
87,1,2,4,4,4,5,38.43,The workers attacked the village beacause they were hungry. The government was aware this was going to happen eventually.,29,2,5,4,7
88,1,2,7,7,1,7,41.652,"A government used industrial workers to sabotage a neighboring country resulting in disarray, famine, and pillaging.",29,1,5,2,10
89,1,2,6,3,2,5,26.739,A bad government worsened the economic climate to start a war.,22,2,3,5,4
90,1,2,5,3,3,5,82.337,The government of a small Country wanted to start a war using workers. They created a food shortage so the workers would raid neighboring countries and start a war.,52,1,5,3,6
91,1,2,2,7,6,7,91.994,"The government wanted to start a war, so they burned a bunch of farm equipment and food to starve the citizens. As a result a neighboring village with excess food was attacked",24,1,5,6,6
92,1,2,3,5,3,6,40.071,"In the 1950s, an Eastern European government planned to use their industrial workers to attack a neighboring country. They were very successful and the workers then independently continued attacking and stole excess food from the neighboring village.",24,1,5,5,5
93,1,2,4,6,5,3,107.257,The governement devised a way to cause economic problems and food shortages so the people of the country would rise up against neighboring villages to take their supplies.  The goal of the government was to create a war.,56,2,3,6,6
94,1,2,5,5,4,4,80.656,,25,1,3,4,3
95,1,2,4,5,5,5,55.029,government planned how to get war started.   It happened just like they thought it would.,69,2,5,4,7
96,1,2,4,6,6,5,40.742,"A government wanted to start a war to get revenge on a neighboring country.  They destroyed many food sources for this country, forcing them to raid other people for food.  It also started an uprising in that country. ",21,1,5,5,5
97,1,2,4,7,7,7,115.584,The government cause d a shut down that ended up in a food shortage that made the workers attack a near by town.,26,2,5,4,8
98,1,2,4,6,5,5,93.219,A government destoryed the food of an other country so that their people would destory the place. Then they did it again to another one.,25,2,1,5,7
99,1,2,2,6,6,6,46.756,A government caused a society to crumble in order to start a war for personal gain.,29,2,5,2,7
100,1,2,7,7,3,5,213.292,An Eastern European government manipulated it's workers into starting a war with a neigboring country.,23,1,1,4,6
101,1,2,6,7,7,6,26.271,"The government was bellicose.  It purposefully destroyed productive resources to induce famine, expecting to trigger an incident with a neighboring country.  This is the sort of thing government functionaries were hanged for, at Nuremburg.",59,1,5,4,8
102,1,2,2,7,6,7,60.738,"The government destroyed farm machinery and set fire to several food stores on purpose to start a war.Workers raided a small village on the country's border, stealing food from the farmers and killing innocent people",26,2,5,2,7
103,1,2,1,7,4,4,64.282,"The govenrment cut off the food supply of a small villiage, which in turn made the villagers seek food from another viiiage..but they were violent .",30,2,5,4,5
104,1,2,3,6,6,6,106.988,"The government wanted to get revenge so they intentionally destroyed farm equipment which caused a shortage of food.    As a result, there was a riot and this caused many deaths.",29,1,3,5,6
105,1,2,4,6,5,5,58.196,A government manipulated the conditions of its citizens' lives to make them turn violent and attack a nearby city for food.,43,2,5,5,6
106,1,2,4,7,4,7,15.007,The government raided the European cities food because they wanted to start a war. The industrial workers attacked a village nearby to get food.,21,1,5,4,9
107,1,2,3,6,5,5,51.49,The government caused the downfall of a small Eastern European town with the use of industrial workers.,29,1,5,6,6
108,1,2,4,5,2,6,43.576,A government of a small country wanted to get revenge on a neighboring country. In order to do this they made their own country starve and then released news that the neighboring country had a lot of food so the country attacked the other country.,21,2,5,5,6
109,1,2,4,4,4,4,85.287,The workers attacked the machinery,54,2,5,4,6
110,1,2,4,5,6,5,50.094,The government of a small Eastern European country plotted to secretly start a war. the government intentionally destroyed farm machinery and set fire to several food stores on purpose.,34,2,5,2,6
111,1,2,7,5,4,5,0.936,"he was guilty it was horrible, im actually sad now",33,1,5,4,3
112,1,2,1,7,7,7,70.474,The government destroyed some machinery and it caused the people to not have enough food and the attacked  and vandalized the village.,50,2,5,4,8
113,1,2,6,5,1,4,49.422,A country's government wanted to start a secret war by destroying machinery and food supplies in a village in a neighboring country. Crime rose in that village and they eventually attacked/ransacked a nearby village in order to get food and supplies.,22,2,5,4,7
114,1,2,2,5,1,4,46.083,An eastern European country provoked an attack on a neighboring country using industrial workers.,34,1,5,6,8
115,1,2,5,6,6,5,37.748,A neighboring country secretly wanted to start war by destroying food crops of another country.,23,1,2,5,6
116,1,2,6,5,5,5,37.517,An eastern European government sabotaged one of it's neighboring countries' food stores and farms in order to cause an uprising.,25,1,5,4,8
117,1,2,2,6,4,6,128.665,The government destroyed their citizens food supply and then leaked that a nearby town had a surplus. The villagers then attacked the town to steal the food.,27,1,5,5,4
118,1,2,5,6,6,6,8.797,The government cause a food shortage that causes it's people to attack a neighboring village that had food.,24,1,5,5,4
119,1,2,4,6,6,6,29.843,The gov't caused made the farmers attack a neighboring village due to their rumours and lies.,25,2,5,4,8
120,1,2,7,6,3,7,70.597,The small eastern government set fire to another cities food supplies and then plotted to make them raid another neighboring town. ,34,2,5,5,8
121,1,2,3,5,3,5,98.618,The government pulled off a plot that caused workers to attack a different country,22,2,5,5,4
122,1,2,4,5,4,4,51.047,"A government used workers to start a war, and successfully influenced their actions.",36,1,5,2,8
123,1,2,6,5,5,5,17.438,"The government destroyed machinery and set fire to food stores, which led to workers starving and they went to a neighboring village to pillage.",24,1,3,5,5
124,1,2,5,6,5,3,8.5,The story was about the government and a village. A fight broke out and I was asked about whether I thought it was the villages fault or the government. ,19,1,3,4,5
125,1,2,4,7,1,3,64.752,"The government of an Eastern European country plotted to start a war with another country by destroying farm equipment and setting stores on fire. This caused a food shortage and when local workers heard that the neighboring country had a surplus, they stole food and killed people.",21,1,5,4,7
